gene	log2FC	pvalue	adj_pvalue	significant
LRRK1	-5.41313228605255	7.56221900809272e-05	0.280482703010159	FALSE
ENSG00000288016	7.46267956915876	7.98490841354852e-05	0.296160253058515	FALSE
CNTNAP3B	1.31103068283064	7.98490841354852e-05	0.296160253058515	FALSE
PTGR1	-4.51485538304661	9.17230039740027e-05	0.340200621739576	FALSE
LINC02055	-1.57706313014436	9.29667477701581e-05	0.344813667479516	FALSE
LINC03069	-1.6615572703223	9.58236530312293e-05	0.35540992909283	FALSE
SIGLEC1	-5.2452773821822	9.67942361671413e-05	0.359009821943927	FALSE
KLHL13	-4.15605295638692	9.7119821356086e-05	0.360217417409723	FALSE
CNIH3	-2.05984313048476	0.000100096979969065	0.371259698705263	FALSE
STAMBPL1	-6.01330733242462	0.000103160142797003	0.382620969634082	FALSE
ESR2	4.60737816420337	0.000103505903163763	0.383903394834397	FALSE
SORCS1	1.71566768025506	0.000106667344537785	0.395629180890646	FALSE
SAT1	-5.41389393891238	0.000115549195459682	0.428571965959962	FALSE
GJC1	2.69468452656531	0.000118268328408012	0.438657230065315	FALSE
MET	-8.62184231760765	0.000125956108625729	0.467171206892827	FALSE
SMOC2	-2.5717978221165	0.000128905452397114	0.478110322940894	FALSE
TMSB15B-AS1	-1.43450750823151	0.000130189249057465	0.482871924754137	FALSE
PLIN2	-1.99960277410533	0.000137694665776391	0.510709515364633	FALSE
LINC02609	-7.57655060028056	0.000141831313292748	0.526052341002803	FALSE
LINC01483	-1.22934912640754	0.000147529121447109	0.547185511447329	FALSE
MGC4859	7.95646760446144	0.000149475805876962	0.554405763997653	FALSE
ENTPD3	-1.31902211500003	0.000160622065944551	0.59574724258834	FALSE
CD300A	-5.53588536969281	0.000173108400728065	0.642059058300392	FALSE
ENSG00000285842	9.26961475779929	0.000188930261918989	0.700742341457532	FALSE
HMGA1	-3.77885016754684	0.000189541583208272	0.703009732119479	FALSE
GNG4	-1.15813446305518	0.000190154763264976	0.705284016949798	FALSE
LCP2	-1.1742973468243	0.000202165407030175	0.749831494674917	FALSE
ENSG00000257545	-2.62531669334347	0.000204125752666343	0.757102416639465	FALSE
PCSK1N	4.17148471445546	0.000206767333035571	0.766900038228931	FALSE
KHDRBS2-OT1	1.37540913907434	0.000210111019214549	0.779301770266762	FALSE
RBMS1	-3.69165376303284	0.000210114468060812	0.779314562037551	FALSE
ENSG00000286523	5.10173719177169	0.000210114468060812	0.779314562037551	FALSE
LINC02964	-1.76228415972856	0.000210114468060812	0.779314562037551	FALSE
MT-ND4L	-1.68290606556996	0.000217658117652046	0.80729395837144	FALSE
SYBU	1.3709612070674	0.000221879283520655	0.82295026257811	FALSE
